ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;648;430;0;1
1;658;431;1;1
2;388;1340;2;1
3;388;1340;3;1
4;388;1340;4;1
5;388;1340;5;1
6;500;1168;6;1
7;500;1168;7;1
8;878;382;8;1
9;878;382;9;1
10;288;844;10;1
11;288;844;11;1
12;258;814;12;1
13;258;814;13;1
14;458;604;14;1
15;518;894;15;1
16;563;1648;16;1
17;563;1648;17;1
18;563;1648;18;1
19;658;431;19;1
20;352;1039;20;1
21;352;1039;21;1
22;798;1140;22;1
23;798;1140;23;1
24;309;1140;24;1
25;766;1140;25;1
26;309;1140;26;1
27;766;1140;27;1
28;303;1054;28;1
29;303;1054;29;1
30;364;1314;30;1
31;364;1314;31;1
32;434;280;32;1
33;434;280;33;1
34;431;280;34;1
35;431;280;35;1
36;431;275;36;1
37;431;275;37;1
38;431;255;38;1
39;431;255;39;1
40;369;1329;40;1
41;369;1329;41;1
42;369;1329;42;1
43;369;1329;43;1
44;367;1329;44;1
45;367;1329;45;1
46;369;1314;46;1
47;369;1314;47;1
48;369;1314;48;1
49;369;1314;49;1
50;372;1329;50;1
51;372;1329;51;1
52;369;1329;52;1
53;369;1329;53;1
54;440;2187;54;1
55;787;2187;55;1
56;1170;431;56;1
57;780;1375;57;1
58;1029;1410;58;1
59;870;2089;59;1
60;975;975;60;1
61;716;1012;61;1
62;648;1039;62;1
63;311;897;63;1
64;716;897;64;1
65;646;962;65;1
66;634;1444;66;1
67;573;2089;67;1
68;573;2089;68;1
69;1895;448;69;1
70;1185;448;70;1
71;871;931;71;1
72;1399;568;72;1
73;970;431;73;1
74;1170;431;74;1
75;1170;431;75;1
76;341;934;76;1
77;341;934;77;1
78;398;944;78;1
79;398;944;79;1
80;341;1144;80;1
81;341;1144;81;1
82;343;1595;82;1
83;343;1595;83;1
84;755;1812;84;1
85;1399;568;85;1
86;765;1574;86;1
87;341;934;87;1
88;341;934;88;1
89;690;1268;89;1
90;486;1275;90;1
91;486;1275;91;1
92;566;1937;92;1
93;566;1937;93;1
94;613;2205;94;1
95;545;826;95;1
96;545;872;96;1
