ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;585;1908;0;1
1;900;918;1;1
2;1040;1092;2;1
3;814;1989;3;1
4;1025;1710;4;1
5;1905;1710;5;1
6;835;2145;6;1
7;743;2084;7;1
8;670;1858;8;1
9;776;2396;9;1
10;2781;704;10;1
11;863;1473;11;1
12;849;1961;12;1
13;197;2045;13;1
14;662;852;14;1
15;802;1202;15;1
16;792;1212;16;1
17;673;1724;17;1
18;743;1904;18;1
19;753;1914;19;1
20;763;2034;20;1
21;850;1917;21;1
22;422;642;22;1
23;730;570;23;1
24;794;742;24;1
25;805;570;25;1
26;805;570;26;1
27;702;821;27;1
28;813;1604;28;1
29;795;743;29;1
30;795;743;30;1
31;813;843;31;1
32;813;983;32;1
33;795;1163;33;1
34;795;1163;34;1
35;750;1957;35;1
36;750;1957;36;1
37;252;1925;37;1
38;824;1925;38;1
39;824;1925;39;1
40;824;1925;40;1
41;824;1925;41;1
42;900;1711;42;1
43;960;1236;43;1
44;960;1236;44;1
45;960;1236;45;1
46;960;1236;46;1
47;960;1236;47;1
48;750;1957;48;1
49;836;1220;49;1
50;960;1723;50;1
51;960;1723;51;1
52;950;1517;52;1
53;950;1517;53;1
54;900;1711;54;1
55;900;1711;55;1
56;960;1538;56;1
