PLATE_ID;NODE_ITEM;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT;
0;0;0;0;6000;3210;-2;0;-1;
0;1;0;0;1578;3210;-2;1;0;
0;2;1578;0;4422;3210;-2;1;0;
0;1;0;0;1550;3210;-2;1;0;
0;2;1550;0;4450;3210;-2;1;0;
0;1;0;0;1426;3210;-2;1;0;
0;2;1426;0;4574;3210;-2;1;0;
0;1;0;0;1396;3210;-2;1;0;
0;2;1396;0;4604;3210;-2;1;0;
0;1;0;0;581;3210;-2;1;0;
0;2;581;0;5419;3210;-2;1;0;
0;1;0;0;6000;1578;-2;2;0;
0;2;0;1578;6000;1632;-2;2;0;
0;1;0;0;6000;1550;-2;2;0;
0;2;0;1550;6000;1660;-2;2;0;
0;1;0;0;6000;1426;-2;2;0;
0;2;0;1426;6000;1784;-2;2;0;
0;1;0;0;6000;1396;-2;2;0;
0;2;0;1396;6000;1814;-2;2;0;
0;1;0;0;6000;581;-2;2;0;
0;2;0;581;6000;2629;-2;2;0;
0;1;0;0;1578;3210;-2;3;0;
0;2;1578;0;4422;3210;-2;3;0;
0;1;0;0;1550;3210;-2;3;0;
0;2;1550;0;4450;3210;-2;3;0;
0;1;0;0;1426;3210;-2;3;0;
0;2;1426;0;4574;3210;-2;3;0;
0;1;0;0;1396;3210;-2;3;0;
0;2;1396;0;4604;3210;-2;3;0;
0;1;0;0;581;3210;-2;3;0;
0;2;581;0;5419;3210;-2;3;0;
