ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;610;1752;0;1
1;298;1929;1;1
2;798;1929;2;1
3;2128;1259;3;1
4;296;584;4;1
5;496;784;5;1
6;496;784;6;1
7;677;1614;7;1
8;1398;2166;8;1
9;1398;2166;9;1
10;728;2058;10;1
11;354;1905;11;1
12;822;1905;12;1
13;677;1218;13;1
14;824;1609;14;1
15;382;1717;15;1
16;382;1717;16;1
17;947;2013;17;1
18;947;2013;18;1
19;992;2053;19;1
20;992;2053;20;1
21;864;1684;21;1
22;864;1684;22;1
23;864;1684;23;1
24;864;1684;24;1
25;212;1096;25;1
26;782;1096;26;1
27;604;1609;27;1
28;821;843;28;1
29;824;843;29;1
30;402;1009;30;1
31;824;1009;31;1
32;821;1027;32;1
33;821;1027;33;1
34;864;1684;34;1
35;321;691;35;1
36;402;843;36;1
