ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;752;1730;0;1
1;499;588;1;1
2;1034;2193;2;1
3;1034;2193;3;1
4;1277;1938;4;1
5;1277;1938;5;1
6;822;853;6;1
7;752;2083;7;1
8;663;1644;8;1
9;552;1390;9;1
10;552;1496;10;1
11;320;800;11;1
12;952;2783;12;1
13;499;588;13;1
14;1317;537;14;1
15;718;1275;15;1
16;718;1275;16;1
17;558;1045;17;1
18;718;1275;18;1
19;526;862;19;1
20;790;1019;20;1
21;252;1019;21;1
22;954;865;22;1
23;416;865;23;1
24;790;1189;24;1
25;222;1189;25;1
26;634;1032;26;1
27;752;367;27;1
28;614;1928;28;1
29;799;1978;29;1
30;682;1209;30;1
31;397;1194;31;1
32;397;1194;32;1
33;397;1194;33;1
34;397;1194;34;1
35;714;1615;35;1
36;554;1004;36;1
37;454;709;37;1
38;344;689;38;1
39;639;1892;39;1
40;340;2076;40;1
41;456;792;41;1
42;1640;1726;42;1
43;456;672;43;1
44;940;426;44;1
45;639;1892;45;1
46;340;1472;46;1
47;610;430;47;1
48;610;430;48;1
49;549;1507;49;1
50;549;1507;50;1
51;610;430;51;1
52;610;430;52;1
53;549;1507;53;1
54;549;1507;54;1
55;1080;277;55;1
56;778;1864;56;1
57;812;1760;57;1
58;639;1892;58;1
59;756;1566;59;1
60;746;1494;60;1
61;510;1791;61;1
62;474;976;62;1
63;474;976;63;1
64;472;1376;64;1
65;472;1376;65;1
66;499;1695;66;1
67;499;1695;67;1
68;340;1472;68;1
69;649;1470;69;1
70;649;1470;70;1
71;639;1892;71;1
72;752;1112;72;1
73;740;430;73;1
74;1078;296;74;1
75;687;612;75;1
76;419;1338;76;1
77;419;1338;77;1
78;428;1343;78;1
79;429;1343;79;1
80;586;588;80;1
81;771;931;81;1
82;936;1278;82;1
83;716;992;83;1
84;616;892;84;1
85;616;892;85;1
