PLATE_ID;NODE_ITEM;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT;
0;0;0;0;6000;3210;-2;0;-1;
0;1;0;0;2205;3210;-2;1;0;
0;2;2205;0;3795;3210;-2;1;0;
0;1;0;0;2093;3210;-2;1;0;
0;2;2093;0;3907;3210;-2;1;0;
0;1;0;0;2088;3210;-2;1;0;
0;2;2088;0;3912;3210;-2;1;0;
0;1;0;0;2039;3210;-2;1;0;
0;2;2039;0;3961;3210;-2;1;0;
0;1;0;0;2013;3210;-2;1;0;
0;2;2013;0;3987;3210;-2;1;0;
0;1;0;0;2013;3210;-2;1;0;
0;2;2013;0;3987;3210;-2;1;0;
0;1;0;0;2013;3210;-2;1;0;
0;2;2013;0;3987;3210;-2;1;0;
0;1;0;0;2013;3210;-2;1;0;
0;2;2013;0;3987;3210;-2;1;0;
0;1;0;0;2013;3210;-2;1;0;
0;2;2013;0;3987;3210;-2;1;0;
0;1;0;0;6000;2013;-2;2;0;
0;2;0;2013;6000;1197;-2;2;0;
0;1;0;0;2013;3210;-2;3;0;
0;2;2013;0;3987;3210;-2;3;0;
