PLATE_ID;NODE_ITEM;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT;
0;0;0;0;6000;3210;-2;0;-1;
0;1;0;0;2781;3210;-2;1;0;
0;2;2781;0;3219;3210;-2;1;0;
0;1;0;0;2396;3210;-2;1;0;
0;2;2396;0;3604;3210;-2;1;0;
0;1;0;0;2145;3210;-2;1;0;
0;2;2145;0;3855;3210;-2;1;0;
0;1;0;0;2084;3210;-2;1;0;
0;2;2084;0;3916;3210;-2;1;0;
0;1;0;0;2045;3210;-2;1;0;
0;2;2045;0;3955;3210;-2;1;0;
0;1;0;0;2034;3210;-2;1;0;
0;2;2034;0;3966;3210;-2;1;0;
0;1;0;0;1989;3210;-2;1;0;
0;2;1989;0;4011;3210;-2;1;0;
0;1;0;0;1961;3210;-2;1;0;
0;2;1961;0;4039;3210;-2;1;0;
0;1;0;0;1957;3210;-2;1;0;
0;2;1957;0;4043;3210;-2;1;0;
0;1;0;0;1957;3210;-2;1;0;
0;2;1957;0;4043;3210;-2;1;0;
0;1;0;0;1957;3210;-2;1;0;
0;2;1957;0;4043;3210;-2;1;0;
0;1;0;0;1957;3210;-2;1;0;
0;2;1957;0;4043;3210;-2;1;0;
0;1;0;0;1957;3210;-2;1;0;
0;2;1957;0;4043;3210;-2;1;0;
0;1;0;0;1957;3210;-2;1;0;
0;2;1957;0;4043;3210;-2;1;0;
0;1;0;0;1957;3210;-2;1;0;
0;2;1957;0;4043;3210;-2;1;0;
0;1;0;0;1957;3210;-2;1;0;
0;2;1957;0;4043;3210;-2;1;0;
0;1;0;0;1957;3210;-2;1;0;
0;2;1957;0;4043;3210;-2;1;0;
0;1;0;0;6000;1957;-2;2;0;
0;2;0;1957;6000;1253;-2;2;0;
0;1;0;0;1957;3210;-2;3;0;
0;2;1957;0;4043;3210;-2;3;0;
