ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;356;692;0;1
1;893;1908;1;1
2;744;1998;2;1
3;533;1998;3;1
4;744;2018;4;1
5;744;2033;5;1
6;911;1654;6;1
7;881;1797;7;1
8;651;2024;8;1
9;747;2022;9;1
10;522;653;10;1
11;522;653;11;1
12;522;653;12;1
13;512;480;13;1
14;654;1094;14;1
15;551;1414;15;1
16;551;1414;16;1
17;493;2018;17;1
18;433;2033;18;1
19;704;940;19;1
20;547;2095;20;1
21;722;863;21;1
22;423;1073;22;1
23;423;1073;23;1
24;358;1073;24;1
25;358;1073;25;1
26;522;653;26;1
27;425;1993;27;1
28;425;1993;28;1
29;541;844;29;1
30;560;1768;30;1
31;560;1768;31;1
32;954;318;32;1
33;650;1538;33;1
34;312;567;34;1
35;412;767;35;1
36;716;446;36;1
37;590;446;37;1
38;571;689;38;1
39;790;204;39;1
40;586;983;40;1
41;396;533;41;1
42;829;281;42;1
43;626;889;43;1
44;618;994;44;1
45;669;1691;45;1
46;281;499;46;1
47;865;499;47;1
48;601;446;48;1
49;616;446;49;1
50;416;1278;50;1
51;416;1278;51;1
52;416;1278;52;1
53;790;1592;53;1
54;744;1702;54;1
55;324;1227;55;1
56;324;1227;56;1
57;863;934;57;1
58;863;934;58;1
59;630;1772;59;1
60;870;459;60;1
61;558;1297;61;1
62;738;1781;62;1
