ITEM_ID;LENGTH_ITEM;WIDTH_ITEM;STACK;SEQUENCE
0;553;1309;0;1
1;366;1405;1;1
2;366;1405;2;1
3;642;1911;3;1
4;642;1911;4;1
5;2043;729;5;1
6;2043;729;6;1
7;1085;1698;7;1
8;1254;2122;8;1
9;648;823;9;1
10;1555;2095;10;1
11;1266;1968;11;1
12;372;1323;12;1
13;990;1823;13;1
14;731;1811;14;1
15;1059;1040;15;1
16;1059;1040;16;1
17;767;1040;17;1
18;771;788;18;1
19;771;788;19;1
20;826;1986;20;1
21;1134;2163;21;1
22;1033;921;22;1
23;855;1907;23;1
24;510;1204;24;1
25;550;1240;25;1
26;972;1675;26;1
27;863;1997;27;1
28;978;1687;28;1
29;978;1687;29;1
30;978;1675;30;1
31;978;1675;31;1
32;978;1675;32;1
33;833;1901;33;1
34;931;1479;34;1
35;1544;2354;35;1
36;316;941;36;1
37;466;841;37;1
38;336;870;38;1
39;336;870;39;1
40;1321;1978;40;1
41;421;823;41;1
42;508;849;42;1
43;2336;1074;43;1
44;618;928;44;1
45;871;976;45;1
46;607;1754;46;1
47;587;1754;47;1
48;607;1754;48;1
49;607;1754;49;1
50;587;1754;50;1
51;834;2021;51;1
52;925;265;52;1
53;848;678;53;1
54;740;1945;54;1
55;554;1193;55;1
56;554;1193;56;1
57;554;1193;57;1
58;554;1193;58;1
59;554;1193;59;1
60;554;1193;60;1
61;554;898;61;1
62;554;898;62;1
63;556;898;63;1
64;556;898;64;1
65;556;898;65;1
66;451;1483;66;1
67;451;1483;67;1
68;788;1358;68;1
69;303;988;69;1
70;491;1061;70;1
71;547;872;71;1
72;444;890;72;1
73;880;890;73;1
74;444;890;74;1
75;769;938;75;1
76;401;938;76;1
77;718;833;77;1
78;497;2090;78;1
79;854;2060;79;1
80;483;1180;80;1
81;1471;633;81;1
82;860;1036;82;1
83;799;2013;83;1
84;561;886;84;1
85;975;1049;85;1
86;683;1075;86;1
87;683;1075;87;1
88;1912;852;88;1
89;697;1936;89;1
90;610;1964;90;1
91;1401;601;91;1
92;1088;767;92;1
93;308;1710;93;1
94;308;1710;94;1
95;1851;2195;95;1
96;1050;1340;96;1
97;1437;1928;97;1
98;553;1637;98;1
99;1037;1983;99;1
100;748;1373;100;1
101;756;2093;101;1
102;530;1928;102;1
103;315;1635;103;1
104;315;1635;104;1
105;678;1630;105;1
106;678;1630;106;1
107;748;968;107;1
108;880;890;108;1
109;486;316;109;1
110;486;316;110;1
111;588;1063;111;1
112;588;1063;112;1
113;588;1063;113;1
114;588;1063;114;1
115;774;318;115;1
116;774;318;116;1
117;636;1160;117;1
118;636;1160;118;1
119;350;2030;119;1
120;2897;408;120;1
121;1455;655;121;1
122;1455;655;122;1
123;934;1790;123;1
124;934;1790;124;1
125;934;1790;125;1
126;934;1790;126;1
127;934;1790;127;1
128;934;1790;128;1
